Date,AAPL,SPY,MSFT,ETH ,BTC
1/4/2016,26.3375,201.020004,54.799999,#N/A,#N/A
1/5/2016,25.6775,201.360001,55.049999,#N/A,#N/A
1/6/2016,25.174999,198.820007,54.049999,#N/A,#N/A
1/7/2016,24.112499,194.050003,52.169998,#N/A,#N/A
1/8/2016,24.24,191.919998,52.330002,#N/A,#N/A
1/11/2016,24.6325,192.110001,52.299999,#N/A,#N/A
1/12/2016,24.99,193.660004,52.779999,#N/A,#N/A
1/13/2016,24.3475,188.830002,51.639999,#N/A,#N/A
1/14/2016,24.879999,191.929993,53.110001,#N/A,#N/A
1/15/2016,24.282499,187.809998,50.990002,#N/A,#N/A
1/19/2016,24.165001,188.059998,50.560001,#N/A,#N/A
1/20/2016,24.1975,185.649994,50.790001,#N/A,#N/A
1/21/2016,24.075001,186.690002,50.48,#N/A,#N/A
1/22/2016,25.355,190.520004,52.290001,#N/A,#N/A
1/25/2016,24.860001,187.639999,51.790001,#N/A,#N/A
1/26/2016,24.997499,190.199997,52.169998,#N/A,#N/A
1/27/2016,23.355,188.130005,51.220001,#N/A,#N/A
1/28/2016,23.522499,189.110001,52.060001,#N/A,#N/A
1/29/2016,24.334999,193.720001,55.09,#N/A,#N/A
2/1/2016,24.1075,193.649994,54.709999,#N/A,#N/A
2/2/2016,23.620001,190.160004,53,#N/A,#N/A
2/3/2016,24.0875,191.300003,52.16,#N/A,#N/A
2/4/2016,24.15,191.600006,52,#N/A,#N/A
2/5/2016,23.504999,187.949997,50.16,#N/A,#N/A
2/8/2016,23.752501,185.419998,49.41,#N/A,#N/A
2/9/2016,23.747499,185.429993,49.279999,#N/A,#N/A
2/10/2016,23.567499,185.270004,49.709999,#N/A,#N/A
2/11/2016,23.424999,182.860001,49.689999,#N/A,#N/A
2/12/2016,23.497499,186.630005,50.5,#N/A,#N/A
2/16/2016,24.16,189.779999,51.09,#N/A,#N/A
2/17/2016,24.530001,192.880005,52.419998,#N/A,#N/A
2/18/2016,24.065001,192.089996,52.189999,#N/A,#N/A
2/19/2016,24.01,192,51.82,#N/A,#N/A
2/22/2016,24.219999,194.779999,52.650002,#N/A,#N/A
2/23/2016,23.672501,192.320007,51.18,#N/A,#N/A
2/24/2016,24.025,193.199997,51.360001,#N/A,#N/A
2/25/2016,24.190001,195.539993,52.099998,#N/A,#N/A
2/26/2016,24.227501,195.089996,51.299999,#N/A,#N/A
2/29/2016,24.172501,193.559998,50.880001,#N/A,#N/A
3/1/2016,25.1325,198.110001,52.580002,#N/A,#N/A
3/2/2016,25.1875,199,52.950001,#N/A,#N/A
3/3/2016,25.375,199.779999,52.349998,#N/A,#N/A
3/4/2016,25.752501,200.429993,52.029999,#N/A,#N/A
3/7/2016,25.467501,200.589996,51.029999,#N/A,#N/A
3/8/2016,25.2575,198.399994,51.650002,#N/A,#N/A
3/9/2016,25.280001,199.380005,52.84,#N/A,#N/A
3/10/2016,25.2925,199.539993,52.049999,#N/A,#N/A
3/11/2016,25.565001,202.759995,53.07,#N/A,#N/A
3/14/2016,25.629999,202.5,53.169998,#N/A,#N/A
3/15/2016,26.145,202.169998,53.59,#N/A,#N/A
3/16/2016,26.4925,203.339996,54.349998,#N/A,#N/A
3/17/2016,26.450001,204.630005,54.66,#N/A,#N/A
3/18/2016,26.48,204.380005,53.490002,#N/A,#N/A
3/21/2016,26.477501,204.669998,53.860001,#N/A,#N/A
3/22/2016,26.68,204.559998,54.07,#N/A,#N/A
3/23/2016,26.532499,203.210007,53.970001,#N/A,#N/A
3/24/2016,26.4175,203.119995,54.209999,#N/A,#N/A
3/28/2016,26.297501,203.240005,53.540001,#N/A,#N/A
3/29/2016,26.92,205.119995,54.709999,#N/A,#N/A
3/30/2016,27.389999,206.020004,55.049999,#N/A,#N/A
3/31/2016,27.247499,205.520004,55.23,#N/A,#N/A
4/1/2016,27.497499,206.919998,55.57,#N/A,#N/A
4/4/2016,27.780001,206.25,55.43,#N/A,#N/A
4/5/2016,27.452499,204.190002,54.560001,#N/A,#N/A
4/6/2016,27.74,206.419998,55.119999,#N/A,#N/A
4/7/2016,27.135,203.949997,54.459999,#N/A,#N/A
4/8/2016,27.165001,204.5,54.419998,#N/A,#N/A
